device_number,mode,behavior,event
1,empty,Exploring,13.666666666666666
1,empty,Seeking,23.666666666666668
1,social,Exploring,22.333333333333332
1,social,Seeking,78.66666666666667
4,empty,Exploring,9.666666666666666
4,empty,Seeking,29.25
4,social,Exploring,10.0
4,social,Seeking,74.0
7,empty,Exploring,9.0
7,empty,Seeking,16.5
7,social,Exploring,13.666666666666666
7,social,Seeking,62.0
8,empty,Exploring,15.5
8,empty,Seeking,10.666666666666666
8,social,Exploring,12.5
8,social,Seeking,98.5
10,empty,Exploring,11.666666666666666
10,empty,Seeking,13.0
10,social,Exploring,11.333333333333334
10,social,Seeking,71.33333333333333
11,empty,Exploring,8.25
11,empty,Seeking,34.333333333333336
11,social,Exploring,5.0
11,social,Seeking,106.66666666666667
12,empty,Exploring,24.333333333333332
12,empty,Seeking,19.5
12,social,Exploring,17.666666666666668
12,social,Seeking,80.66666666666667
14,empty,Exploring,3.75
14,empty,Seeking,18.25
14,social,Exploring,11.333333333333334
14,social,Seeking,68.33333333333333
15,empty,Exploring,16.666666666666668
15,empty,Seeking,15.75
15,social,Exploring,1.5
15,social,Seeking,88.66666666666667
16,empty,Exploring,23.333333333333332
16,empty,Seeking,41.666666666666664
16,social,Exploring,8.333333333333334
16,social,Seeking,93.5
